publication_ID	arxiv_category_ID
1	67
2	74
2	21
3	121
4	74
5	73
5	79
6	9
7	64
8	10
9	1
10	74
11	91
11	70
12	91
13	91
14	73
14	72
15	68
16	67
17	1
18	68
19	94
19	70
20	65
21	105
21	115
21	134
22	90
23	1
24	105
25	15
25	14
26	96
27	9
28	73
28	94
29	67
30	15
31	67
32	67
33	126
33	117
34	137
34	132
34	150
35	126
35	117
36	138
36	134
37	126
37	117
38	126
38	117
39	67
39	66
39	108
40	92
40	79
41	95
41	101
41	89
42	121
42	150
43	14
43	10
44	1
44	103
44	127
44	130
45	105
45	106
46	150
46	38
46	85
47	45
47	17
48	64
48	1
49	74
50	45
50	17
51	119
51	150
52	68
53	77
53	64
54	73
54	79
55	13
55	10
56	13
56	10
57	15
58	128
59	1
60	108
61	79
62	30
63	67
64	68
65	70
65	74
66	68
67	10
68	91
68	76
69	78
70	9
71	129
72	101
72	89
73	70
74	96
75	67
75	65
75	107
76	67
76	65
77	121
78	64
79	92
80	1
81	95
81	68
81	101
81	89
81	97
82	11
82	14
83	68
84	13
84	105
84	120
85	68
86	94
87	77
88	126
89	118
89	121
90	20
90	14
90	43
90	44
90	118
91	82
92	66
92	67
93	16
93	15
94	1
95	82
95	77
96	106
97	101
97	89
97	92
98	38
98	85
99	79
100	64
101	68
102	69
102	70
103	64
104	77
104	97
105	98
106	67
106	108
107	118
108	19
109	10
109	11
110	92
111	95
111	86
112	96
113	10
114	15
115	83
116	101
116	68
116	89
117	150
118	16
118	10
119	15
120	65
120	67
121	68
122	11
123	103
123	11
123	126
124	76
125	71
126	16
127	10
128	1
129	78
129	101
129	71
129	89
130	97
131	121
132	9
133	1
134	108
135	150
136	121
137	150
138	64
138	1
139	1
140	68
141	67
142	14
143	67
144	68
144	1
144	64
145	64
146	11
147	126
147	116
147	150
148	10
149	64
150	15
151	118
151	117
152	108
153	121
154	108
154	67
154	107
155	1
156	1
157	14
157	13
157	115
158	136
159	15
159	13
160	1
161	10
162	118
162	117
163	10
164	83
165	95
165	97
166	68
167	67
168	1
169	67
170	15
170	10
171	1
172	9
172	15
173	10
174	67
174	65
175	1
175	64
175	68
176	11
176	10
177	126
178	127
179	150
180	108
181	126
181	117
182	10
183	10
184	1
185	10
186	67
187	1
188	11
189	82
190	65
190	1
190	67
191	114
191	118
191	131
192	1
193	10
193	14
194	9
194	150
195	95
195	97
196	67
197	104
198	15
198	11
199	74
199	82
200	67
200	107
201	97
201	95
202	150
203	1
204	16
204	9
205	1
206	126
207	1
207	64
207	108
208	83
208	95
209	1
210	77
211	74
212	68
212	1
212	64
213	19
214	150
214	68
215	94
216	10
217	38
217	85
218	29
218	40
219	1
220	107
221	1
221	64
221	67
221	68
222	1
223	1
224	107
225	1
226	1
227	107
228	64
228	1
228	150
229	19
230	1
231	76
232	68
233	11
234	1
235	67
235	65
236	77
237	1
238	1
239	13
240	68
241	16
242	1
243	15
244	10
245	68
245	67
246	9
247	68
247	64
248	126
248	101
248	89
249	15
250	15
250	8
251	150
252	67
253	1
254	67
255	1
256	1
257	98
257	70
258	68
258	14
259	1
260	79
260	71
261	1
262	68
263	120
263	127
264	67
264	68
264	108
265	1
266	1
267	1
268	150
269	1
270	1
271	14
271	137
272	1
273	101
273	83
273	89
274	117
275	88
276	1
277	74
278	64
279	1
280	1
281	1
282	38
282	19
282	85
283	95
284	68
284	64
285	9
285	10
286	71
286	101
286	89
287	1
288	108
289	9
290	1
291	113
291	11
292	67
293	67
294	67
295	74
295	83
296	68
297	1
298	79
298	99
299	68
299	1
299	64
300	9
300	10
301	19
302	100
302	156
303	1
303	110
304	38
304	17
304	85
304	137
305	114
306	107
306	65
307	1
308	129
309	19
309	29
310	1
311	9
311	10
312	1
313	15
314	67
314	1
314	68
315	94
315	71
316	1
317	77
318	108
318	67
319	9
320	14
321	15
321	10
322	105
322	103
322	137
323	150
324	71
325	14
325	124
326	100
326	14
326	156
327	15
327	10
328	67
329	94
329	73
329	100
329	156
330	67
331	136
332	64
333	15
334	115
335	94
335	141
335	146
336	9
337	71
338	10
339	120
339	117
340	150
341	67
342	72
343	13
343	8
344	1
345	129
346	1
347	71
347	73
348	1
349	74
349	88
350	1
351	1
352	13
352	16
353	108
353	150
354	68
354	64
355	1
356	1
357	137
357	136
358	67
359	76
360	1
361	38
361	85
362	101
362	68
362	89
363	121
364	65
365	16
365	15
366	64
366	68
367	64
368	15
369	67
370	10
371	64
372	150
373	150
373	68
374	122
375	115
376	150
376	9
377	67
377	68
377	108
378	76
378	73
379	13
379	14
380	94
381	1
382	91
383	15
384	107
385	11
386	150
386	11
387	1
388	67
389	64
390	78
391	9
392	135
392	8
392	129
393	10
394	147
394	94
395	67
396	15
397	150
398	94
399	64
399	68
400	106
400	14
