publication_id	number_of_citations	updated_at
35	35	2023-01-15 14:53:04.381677+00:00
37	196	2023-01-15 14:53:04.381677+00:00
38	601	2023-01-15 14:53:04.381677+00:00
43	33	2023-01-15 14:53:04.381677+00:00
44	597	2023-01-15 14:53:04.381677+00:00
45	45	2023-01-15 14:53:04.381677+00:00
48	13	2023-01-15 14:53:04.381677+00:00
55	142	2023-01-15 14:53:04.381677+00:00
56	21	2023-01-15 14:53:04.381677+00:00
57	149	2023-01-15 14:53:04.381677+00:00
58	7	2023-01-15 14:53:04.381677+00:00
59	56	2023-01-15 14:53:04.381677+00:00
64	6	2023-01-15 14:53:04.381677+00:00
67	3	2023-01-15 14:53:04.381677+00:00
75	106	2023-01-15 14:53:04.381677+00:00
76	7	2023-01-15 14:53:04.381677+00:00
78	11	2023-01-15 14:53:04.381677+00:00
80	93	2023-01-15 14:53:04.381677+00:00
82	12	2023-01-15 14:53:04.381677+00:00
83	31	2023-01-15 14:53:04.381677+00:00
84	14	2023-01-15 14:53:04.381677+00:00
85	5	2023-01-15 14:53:04.381677+00:00
92	6	2023-01-15 14:53:04.381677+00:00
93	17	2023-01-15 14:53:04.381677+00:00
100	4	2023-01-15 14:53:04.381677+00:00
103	0	2023-01-15 14:53:04.381677+00:00
107	7	2023-01-15 14:53:04.381677+00:00
113	327	2023-01-15 14:53:04.381677+00:00
114	16	2023-01-15 14:53:04.381677+00:00
116	7	2023-01-15 14:53:04.381677+00:00
117	16	2023-01-15 14:53:04.381677+00:00
118	7	2023-01-15 14:53:04.381677+00:00
119	1	2023-01-15 14:53:04.381677+00:00
120	12	2023-01-15 14:53:04.381677+00:00
121	7	2023-01-15 14:53:04.381677+00:00
122	32	2023-01-15 14:53:04.381677+00:00
126	19	2023-01-15 14:53:04.381677+00:00
127	112	2023-01-15 14:53:04.381677+00:00
128	501	2023-01-15 14:53:04.381677+00:00
132	21	2023-01-15 14:53:04.381677+00:00
133	38	2023-01-15 14:53:04.381677+00:00
135	24	2023-01-15 14:53:04.381677+00:00
138	14	2023-01-15 14:53:04.381677+00:00
