institution	country	location	location_abbr
Harvard University	USA	Cambridge	MA
Massachusetts Institute of Technology	USA	Cambridge	MA
Stanford University	USA	Stanford	CA
University of Cambridge	United Kingdom		
California Institute of Technology	USA	Pasadena	CA
Princeton University	USA	Princeton	NJ
University of Oxford	United Kingdom		
Yale University	USA	New Haven	CT
Columbia University	USA	New York	NY
University of California, Berkeley	USA		
University of Chicago	USA	Chicago	IL
Cornell University	USA	Ithaca	NY
University of Pennsylvania	USA	Philadelphia	PA
University of Tokyo	Japan		
Johns Hopkins University	USA	Baltimore	MD
Swiss Federal Institute of Technology in Zurich	Switzerland		
Kyoto University	Japan		
Weizmann Institute of Science	Israel		
University of California, Los Angeles	USA		
University of California, San Diego	USA		
Rockefeller University	USA		
Hebrew University of Jerusalem	Israel		
New York University	USA	New York	NY
University of California, San Francisco	USA		
University of Wisconsin–Madison	USA		
University of Illinois at Urbana–Champaign	USA		
Duke University	USA	Durham	NC
Imperial College London	United Kingdom		
University of Texas Southwestern Medical Center	USA		
University of Texas at Austin	USA		
University College London	United Kingdom		
Osaka University	Japan		
Northwestern University	USA	Evanston	IL
University of Michigan, Ann Arbor	USA		
University of Toronto	Canada		
University of North Carolina at Chapel Hill	USA		
Washington University in St. Louis	USA	St. Louis	MO
University of Utah	USA	Salt Lake City	UT
University of Washington - Seattle	USA		
University of California, Santa Barbara	USA		
McGill University	Canada		
Purdue University, West Lafayette	USA		
Carnegie Mellon University	USA	Pittsburgh	PA
University of Southern California	USA	Los Angeles	CA
University of California, Davis	USA		
University of Colorado Boulder	USA		
University of California, Irvine	USA		
University of Paris-Sud	France		
University of Minnesota, Twin Cities	USA		
University of Arizona	USA	Tucson	AZ
Technion – Israel Institute of Technology	Israel		
Ohio State University, Columbus	USA		
University of Rochester	USA	Rochester	NY
École normale supérieure - Paris	France		
University of Florida	USA	Gainesville	FL
Tel Aviv University	Israel		
Rice University	USA	Houston	TX
Dartmouth College	USA	Hanover	NH
Vanderbilt University	USA	Nashville	TN
University of Edinburgh	United Kingdom		
École Polytechnique	France		
Boston University	USA	Boston	MA
Pierre-and-Marie-Curie University	France		
Pennsylvania State University, University Park	USA		
University of Geneva	Switzerland		
Brown University	USA	Providence	RI
University of British Columbia	Canada		
