author2affiliation_id,author_id,affiliation_id
1,3,1
2,19,1
3,23,1
4,42,1
5,54,2
6,59,1
7,72,1
8,76,1
9,87,1
10,91,1
11,99,1
12,100,1
13,109,1
14,112,1
15,113,1
16,114,1
17,117,1
18,123,1
19,130,1
20,133,1
21,137,1
22,141,1
23,153,1
24,154,1
25,157,1
26,160,1
27,167,7
28,179,1
29,186,1
30,187,1
31,192,1
32,211,1
33,215,1
34,216,1
35,236,1
36,238,1
37,239,1
38,241,1
39,246,1
40,251,1
41,252,1
42,255,5
43,258,1
44,264,1
45,267,1
46,268,1
47,272,1
48,277,3
49,280,1
50,295,1
51,299,1
52,313,1
53,314,1
54,315,1
55,334,1
56,342,1
57,346,1
58,347,1
59,348,1
60,359,1
61,376,1
62,378,1
63,396,1
64,398,1
65,402,1
66,403,1
67,404,1
68,407,1
69,420,1
70,422,1
71,423,1
72,435,1
73,439,1
74,442,1
75,446,1
76,454,1
77,472,1
78,479,1
79,484,1
80,485,1
81,488,1
82,496,6
83,503,1
84,514,1
85,517,1
86,537,4
87,557,1
88,561,1
89,574,1
90,576,1
91,581,1
92,586,1
93,587,1
94,599,1
95,602,7
96,607,1
97,608,1
98,614,1
99,615,1
100,617,1
101,619,1
102,625,1
103,627,1
104,632,1
105,633,1
106,640,1
107,649,1
108,650,1
109,652,1
110,657,1
111,658,1
112,669,1
113,672,1
114,688,1
115,690,1
116,693,1
