author_id,last_name,first_name,first_name_abbr,full_name,position,h_index_real,h_index_calculated
109,Chen,Xiao-Lin,X.-L.,X.-L. Chen,,-1,1
397,Merkel,,J.,J. Merkel,,-1,1
152,Del Re,,D.,D. Del Re,,-1,1
525,Ruland,,A. M.,A. M. Ruland,,-1,1
650,Wang,Yu-Ming,Y.-M.,Y.-M. Wang,,-1,1
318,Kozanecki,,W.,W. Kozanecki,,-1,1
698,Zhao,,H. W.,H. W. Zhao,,-1,1
691,Zain,,S. B.,S. B. Zain,,-1,1
354,Long,,O.,O. Long,,-1,1
214,Fry,,J. R.,J. R. Fry,,-1,1
685,Yi,,K.,K. Yi,,-1,1
527,Saeed,,M. A.,M. A. Saeed,,-1,1
150,Del Buono,,L.,L. Del Buono,,-1,1
528,Saleem,,M.,M. Saleem,,-1,1
465,Pelliccioni,,M.,M. Pelliccioni,,-1,1
375,Malclès,,J.,J. Malclès,,-1,1
234,Glanzman,,T.,T. Glanzman,,-1,1
261,Hawkes,,C. M.,C. M. Hawkes,,-1,1
360,Lo Vetere,,M.,M. Lo Vetere,,-1,1
482,Polci,,F.,F. Polci,,-1,1
302,Khan,,A.,A. Khan,,-1,1
203,Flaecher,,H. U.,H. U. Flaecher,,-1,1
561,Shu,Zhan,Z.,Z. Shu,,-1,1
495,Purohit,,M. V.,M. V. Purohit,,-1,1
70,Briand,,H.,H. Briand,,-1,1
315,Kostylev,,M.,M. Kostylev,,-1,-1
262,Hearty,,C.,C. Hearty,,-1,1
308,Kobel,,M. J.,M. J. Kobel,,-1,1
119,Cochran,,J.,J. Cochran,,-1,1
117,Clark,James,J.,J. Clark,,-1,-1
490,Prencipe,,E.,E. Prencipe,,-1,1
351,Liu,,H.,H. Liu,,-1,1
110,Cheng,,C. H.,C. H. Cheng,,-1,1
612,Tisserand,,V.,V. Tisserand,,-1,1
180,Elmer,,P.,P. Elmer,,-1,1
54,Biryukov,,V. M.,V. M. Biryukov,,-1,1
41,Béquilleux,,J.,J. Béquilleux,,-1,1
652,Warner,Brian,B.,B. Warner,,-1,1
543,Schröder,,H.,H. Schröder,,-1,1
195,Feltresi,,E.,E. Feltresi,,-1,1
60,Blount,,N. L.,N. L. Blount,,-1,1
99,Chang,Chao-Hsi,C.-H.,C.-H. Chang,,-1,1
304,Kim,,P.,P. Kim,,-1,1
349,Lista,,L.,L. Lista,,-1,1
427,Nauenberg,,U.,U. Nauenberg,,-1,1
617,Tomàs,,R.,R. Tomàs,,-1,1
