publication_ID	citing_publication_DOI
250001	['10.1007/978-93-86279-57-6_5', '10.1088/0954-3899/35/7/073001', '10.1088/0954-3899/39/8/085005', '10.1140/epjc/s10052-011-1665-7', '10.1140/epjc/s10052-012-2157-0', '10.1140/epjc/s10052-014-3129-3', '10.1103/physrevd.76.013008', '10.1103/physrevd.77.055013', '10.1103/physrevd.77.075002', '10.1103/physrevd.79.075012', '10.1103/physrevd.81.034026', '10.1103/physrevlett.101.051801', '10.1103/physrevlett.102.231801', '10.1103/physrevlett.107.062001', '10.1103/physrevlett.107.102003', '10.1103/physrevlett.108.032002', '10.1103/physrevlett.108.072001', '10.1103/physrevlett.108.111803', '10.1103/physrevlett.110.101801', '10.1051/epjconf/20136014006', '10.1103/physrevd.81.055006', '10.1103/physrevd.84.052006', '10.1103/physrevd.85.012003', '10.1103/physrevd.85.114022', '10.1103/physrevd.86.015011', '10.1103/physrevd.86.073016', '10.1103/physrevd.86.094007', '10.1103/physrevd.88.013004', '10.1103/physrevd.88.054008', '10.1103/physrevd.90.014031', '10.1088/1361-6471/ab2e94', '10.1103/physrevd.95.112005', '10.1016/j.physletb.2010.05.017', '10.1016/j.physletb.2011.10.051', '10.1016/j.physletb.2013.11.002', '10.1016/j.nuclphysb.2010.12.007', '10.1016/j.cpc.2018.11.024', '10.1016/j.nuclphysbps.2008.09.149', '10.1016/j.nuclphysbps.2015.01.003', '10.1016/j.physletb.2013.06.036', '10.1016/j.nuclphysbps.2015.09.319', '10.1016/j.physletb.2009.01.002', '10.3390/sym13060994', '10.1007/jhep04(2021)041', '10.1140/epjc/s10052-021-09687-4']
250006	['10.1088/0953-4075/44/19/192001', '10.1209/0295-5075/96/60002', '10.1007/s00340-014-5819-9', '10.1103/physrevlett.104.070402', '10.1103/physreva.100.012309', '10.1103/physreva.94.053624', '10.1103/physreva.95.023617', '10.1103/physreva.96.032325', '10.1103/physreva.98.062105', '10.1103/physreva.99.063601', '10.1088/1367-2630/17/11/113015', '10.1103/physreva.101.033620', '10.1103/physrevlett.128.020401']
250007	['10.1088/1361-6382/ac5050', '10.1016/j.shpsa.2021.10.017', '10.1103/physrevd.105.064011', '10.3390/universe8060302', '10.1103/physrevd.105.126003', '10.3390/universe8070349', '10.1142/s0219887822500979', '10.1088/0264-9381/24/24/007', '10.1088/0264-9381/27/16/165013', '10.1088/0264-9381/28/21/213001', '10.1088/0264-9381/30/13/135006', '10.1088/0264-9381/30/16/165011', '10.1088/0264-9381/32/15/155007', '10.1088/0264-9381/33/2/025009', '10.1007/978-1-4419-8276-6_8', '10.1038/s41598-018-19181-9', '10.1155/2018/3610543', '10.1142/s021988781750164x', '10.1142/s0219887818500950', '10.1142/s0219887818501694', '10.1142/s0219887819500385', '10.1140/epjc/s10052-018-6337-4', '10.1103/physrevd.76.103531', '10.1103/physrevd.77.023510', '10.1103/physrevd.77.024046', '10.1103/physrevd.78.024034', '10.1103/physrevd.78.103514', '10.1103/physrevd.79.023508', '10.1103/physrevd.79.083506', '10.1103/physrevd.79.084007', '10.1103/physrevd.79.123509', '10.1103/physrevd.80.044031', '10.1103/physrevd.81.024034', '10.1007/s10670-016-9865-z', '10.1209/0295-5075/112/60003', '10.1103/physreva.79.032104', '10.1051/epjconf/201920609016', '10.1103/physrevd.81.064019', '10.1103/physrevd.82.124032', '10.1103/physrevd.83.104006', '10.1103/physrevd.84.044003', '10.1103/physrevd.86.064019', '10.1103/physrevd.87.063518', '10.1103/physrevd.88.024014', '10.1103/physrevd.88.043504', '10.1103/physrevd.88.103511', '10.1103/physrevd.89.065014', '10.1103/physrevd.89.084072', '10.1103/physrevd.90.044051', '10.1103/physrevd.90.067505', '10.1103/physrevd.90.103503', '10.1103/physrevd.90.125027', '10.1103/physrevd.91.065006', '10.1103/physrevd.92.025008', '10.1103/physrevd.92.104029', '10.1103/physrevd.94.023519', '10.1103/physrevd.94.084007', '10.1142/s0217732314501697', '10.1142/s0217751x16500408', '10.1142/s0217751x16501669', '10.1063/1.5013249', '10.1007/s10773-017-3542-0', '10.1088/1361-6382/aa6455', '10.1088/1361-6382/aa6d88', '10.1088/1361-6382/aae74b', '10.1088/1361-6382/aaf4e3', '10.1088/1361-6382/ab3f16', '10.1103/physrevd.95.086016', '10.1103/physrevd.95.123533', '10.1103/physrevd.96.106021', '10.1103/physrevd.97.046011', '10.1103/physrevd.98.106022', '10.1103/physrevd.99.063534', '10.1103/physrevd.99.123509', '10.1103/physrevd.99.126013', '10.1088/1475-7516/2009/05/007', '10.1088/1475-7516/2012/10/041', '10.1088/1475-7516/2014/10/045', '10.1088/1475-7516/2018/03/030', '10.1103/physrevd.100.104058', '10.1103/physrevd.100.106016', '10.1103/physrevd.101.046023', '10.3390/math8010115', '10.1088/1361-6382/ab5bc7', '10.1103/physrevd.101.106004', '10.1093/bjps/axz051', '10.1088/1361-6382/abb57a', '10.1103/physrevd.102.046001', '10.1016/j.physleta.2014.09.044', '10.1016/j.physletb.2017.02.038', '10.1016/j.aop.2013.05.005', '10.1016/j.aop.2017.08.004', '10.1016/j.physletb.2019.01.050', '10.1016/j.physletb.2013.04.009', '10.1016/j.physletb.2014.06.005', '10.1103/physrevd.103.086014', '10.1103/physrevd.103.084038', '10.1103/physrevd.103.084053', '10.1088/1361-6382/abe05d', '10.1088/1361-6382/ac025f', '10.1142/s0217732321500450', '10.1007/jhep09(2021)062', '10.1103/physrevd.104.064020', '10.3390/universe7090327', '10.1142/s0217732321502291', '10.1103/physrevd.104.106001', '10.1103/physrevd.104.126006']
250008	['10.1103/physreve.78.066115', '10.1103/physreve.86.036407', '10.1088/0256-307x/34/3/035201', '10.1063/1.4813091', '10.1038/s41467-018-05294-2', '10.1088/0004-637x/744/1/59', '10.1063/1.5063830', '10.1103/physreve.101.053201', '10.1016/j.hedp.2009.11.004', '10.1038/s41586-020-03140-4', '10.1016/j.ijimpeng.2021.104107']
250009	['10.1088/0004-6256/138/4/1116', '10.1088/0004-6256/144/2/31', '10.1088/0004-6256/145/1/15', '10.1088/0004-6256/145/4/94', '10.1088/0004-6256/146/5/105', '10.1088/0004-6256/147/6/133', '10.1088/0004-6256/148/1/11', '10.1088/0004-6256/148/5/92', '10.1088/0004-6256/149/3/103', '10.1088/0004-6256/150/2/40', '10.1088/0004-637x/690/1/496', '10.1088/0004-637x/691/1/672', '10.1088/0004-637x/691/2/1754', '10.1088/0004-637x/692/2/973', '10.1088/0004-637x/693/2/1290', '10.1088/0004-637x/695/2/1495', '10.1088/0004-637x/697/1/787', '10.1088/0004-637x/699/2/1866', '10.1088/0004-637x/701/2/1044', '10.1088/0004-637x/702/1/340', '10.1088/0004-637x/705/2/1730', '10.1088/0004-637x/706/1/83', '10.1088/0004-637x/710/1/207', '10.1088/0004-637x/710/2/1247', '10.1088/0004-637x/712/2/797', '10.1088/0004-637x/712/2/925', '10.1088/0004-637x/714/1/778', '10.1088/0004-637x/716/1/299', '10.1088/0004-637x/716/1/634', '10.1088/0004-637x/718/2/1200', '10.1088/0004-637x/718/2/610', '10.1088/0004-637x/719/1/9', '10.1088/0004-637x/720/2/1374', '10.1088/0004-637x/721/2/995', '10.1088/0004-637x/725/2/2461', '10.1093/mnras/sty3359', '10.1093/mnras/sty984', '10.3847/1538-4357/aa8b62', '10.3847/1538-4357/aa9e06', '10.3847/1538-3881/aa9752', '10.1093/mnras/staa3420', '10.3847/1538-4357/ab92a2', '10.3847/1538-4357/abedb7', '10.3847/1538-3881/abfdcd', '10.3847/1538-4365/abe465', '10.1051/0004-6361/202140833', '10.3847/1538-4357/ac26b9', '10.3847/1538-4357/ac1bbb', '10.3847/1538-4357/ac4bbe', '10.1051/0004-6361/202142421', '10.1088/1538-3873/ac4c9c', '10.1146/annurev-astro-081710-102548', '10.1088/1674-4527/15/8/014', '10.1088/0067-0049/181/2/321', '10.1088/0067-0049/184/1/18', '10.1088/0067-0049/185/1/198', '10.1088/0067-0049/186/2/259', '10.1088/0067-0049/193/2/25', '10.1088/0067-0049/194/1/4', '10.1088/0067-0049/194/2/43', '10.1088/0067-0049/196/1/4', '10.1088/0067-0049/201/2/11', '10.1088/0067-0049/205/1/5', '10.1088/0067-0049/209/2/29', '10.1088/0067-0049/209/2/32', '10.1088/0067-0049/209/2/39', '10.1088/0067-0049/220/1/11', '10.1051/0004-6361/200810609', '10.1051/0004-6361/200911818', '10.1051/0004-6361/200913475', '10.1051/0004-6361/200913839', '10.1051/0004-6361/200913919', '10.1051/0004-6361/200913956', '10.1051/0004-6361/201014182', '10.1051/0004-6361/201016246', '10.1051/0004-6361/201117132', '10.1051/0004-6361/201219110', '10.1051/0004-6361/201219559', '10.1051/0004-6361/201220452', '10.1051/0004-6361/201321444', '10.1051/0004-6361/201424376', '10.1051/0004-6361/201424721', '10.1051/0004-6361/201425253', '10.1051/0004-6361/201425417', '10.1051/0004-6361/201526532', '10.1051/0004-6361/201527938', '10.1051/0004-6361/201628075', '10.1086/518647', '10.1086/520790', '10.1093/mnras/stt700', '10.1088/0004-637x/729/2/84', '10.1088/0004-637x/730/2/65', '10.1088/0004-637x/734/1/22', '10.1088/0004-637x/739/2/84', '10.1088/0004-637x/742/1/28', '10.1088/0004-637x/750/2/157', '10.1088/0004-637x/752/1/9', '10.1088/0004-637x/754/2/104', '10.1088/0004-637x/762/2/128', '10.1088/0004-637x/767/1/36', '10.1088/0004-637x/773/2/135', '10.1088/0004-637x/782/1/51', '10.1088/0004-637x/782/2/114', '10.1088/0004-637x/786/1/37', '10.1088/0004-637x/798/2/104', '10.1088/0004-637x/805/1/9', '10.1007/s10509-016-2905-y', '10.1051/0004-6361/201833537', '10.1051/0004-6361:20079146', '10.1051/0004-6361:20079213', '10.1051/0004-6361:200810121', '10.1088/2041-8205/733/1/l2', '10.1111/j.1365-2966.2007.12750.x', '10.1111/j.1365-2966.2008.13247.x', '10.1111/j.1365-2966.2008.13442.x', '10.1111/j.1365-2966.2011.18755.x', '10.1111/j.1365-2966.2010.16792.x', '10.1111/j.1365-2966.2010.16964.x', '10.1111/j.1365-2966.2010.17140.x', '10.1111/j.1365-2966.2010.17438.x', '10.1111/j.1365-2966.2011.19570.x', '10.1111/j.1365-2966.2011.20130.x', '10.1111/j.1365-2966.2012.20643.x', '10.1007/978-3-642-22113-2_20', '10.1093/pasj/63.5.1071', '10.1093/pasj/pst017', '10.3847/0004-637x/831/2/189', '10.3847/0004-637x/832/1/87', '10.3847/0067-0049/225/2/26', '10.3847/1538-3881/aa661f', '10.3847/1538-4357/834/2/143', '10.3847/1538-4357/aacf9b', '10.1017/s1743921310011221', '10.1093/mnras/stu2695', '10.1093/mnras/stw2296', '10.1093/mnras/stw398', '10.1093/mnras/stz1301', '10.1093/mnras/stz1911', '10.1086/524031', '10.1086/524979', '10.1086/527315', '10.1086/587687', '10.1086/587931', '10.1086/588042', '10.1086/588810', '10.1086/589956', '10.1086/589963', '10.1086/591085', '10.1086/591664', '10.1088/0004-6256/136/1/18', '10.1088/0004-6256/137/6/4777']
250015	['10.1088/1126-6708/2008/04/093', '10.1088/1126-6708/2009/03/126', '10.1140/epjc/s10052-008-0674-7', '10.1007/jhep10(2013)217', '10.1007/jhep12(2018)071', '10.1007/jhep01(2010)007', '10.1007/978-3-319-03774-5_4', '10.5817/pedor2013-6-767', '10.1016/j.nuclphysb.2013.04.023']
250016	['10.1088/1674-1137/42/5/051001', '10.1140/epjc/s10052-012-2099-6', '10.1140/epjc/s10052-017-5360-1', '10.1140/epjc/s10052-017-5447-8', '10.1140/epjc/s10052-018-6220-3', '10.1007/s11467-015-0483-z', '10.1007/jhep12(2013)090', '10.1051/epjconf/201819102013', '10.1051/epjconf/201920202003', '10.1103/physrevlett.119.112001', '10.1103/physrevlett.121.052002', '10.1103/physrevd.96.031501', '10.1103/physrevd.96.054013', '10.1103/physrevd.96.113006', '10.1103/physrevd.97.034018', '10.1103/physrevd.98.054025', '10.1103/physrevd.98.113005', '10.1103/physrevd.99.073006', '10.1051/epjconf/201922203020', '10.1007/s11433-019-1471-8', '10.1007/s11433-019-1483-0', '10.1103/physrevd.100.114037', '10.1103/physrevd.101.034034', '10.1140/epjc/s10052-020-7699-y', '10.1088/1674-1137/44/1/013102', '10.1016/j.physletb.2017.02.003', '10.1016/j.physletb.2011.09.068', '10.1088/1674-1137/abec68', '10.1007/s11433-021-1742-7', '10.1088/1674-1137/ac224b', '10.1007/jhep12(2021)107', '10.1016/j.cjph.2022.06.021', '10.1103/physrevd.105.096011']
250017	['10.1051/0004-6361/201014542', '10.1051/epjconf/20136407001', '10.1007/978-4-431-54219-3_5', '10.1051/0004-6361:20079010', '10.1111/j.1365-2966.2007.12003.x', '10.1111/j.1365-2966.2007.12077.x', '10.1111/j.1365-2966.2010.17752.x', '10.1017/s1743921307009684', '10.1093/mnras/stv724', '10.1093/mnras/stw1425', '10.1086/523932', '10.3847/1538-4365/ac141c']
250020	['10.1088/1742-6596/110/5/052043', '10.1146/annurev-nucl-101916-123109', '10.1088/0954-3899/35/11/115005', '10.1088/0954-3899/43/11/115004', '10.1140/epjc/s10052-014-2981-5', '10.1140/epjc/s10052-014-3226-3', '10.1140/epjc/s10052-017-4911-9', '10.1140/epjc/s10052-017-5058-4', '10.1140/epjc/s10052-018-5943-5', '10.1140/epjc/s10052-018-6184-3', '10.1140/epjc/s10052-019-6554-5', '10.1103/physrevd.77.112005', '10.1103/physrevd.78.051101', '10.1103/physrevd.79.052010', '10.1103/physrevd.80.032005', '10.1103/physrevd.80.034026', '10.1103/physrevd.80.114005', '10.1007/s11467-019-0908-1', '10.1002/9783527648887.refs', '10.1103/revmodphys.82.1349', '10.1103/physrevlett.100.241802', '10.1103/physrevlett.100.251802', '10.1103/physrevd.82.114506', '10.1103/physrevd.83.072001', '10.1103/physrevd.87.054026', '10.1103/physrevd.91.052022', '10.1103/physrevd.91.073007', '10.1103/physrevd.91.094009', '10.1103/physrevd.92.014004', '10.1103/physrevd.92.072012', '10.1103/physrevd.94.032001', '10.1103/physrevlett.122.011804', '10.1103/physrevlett.122.121801', '10.1142/s0217751x11053791', '10.1103/physrevd.96.054514', '10.1103/physrevd.98.114031', '10.1103/physrevc.87.014905', '10.1103/physrevd.101.013004', '10.1016/j.physletb.2008.07.027', '10.1016/j.nuclphysbps.2010.02.043', '10.1016/j.nuclphysbps.2008.12.086', '10.1140/epjc/s10052-020-8156-7', '10.1103/physrevd.104.052008', '10.1103/physrevd.104.034505', '10.1155/2021/4277321']
250021	['10.1103/physreve.79.061906', '10.1103/physreve.84.065101', '10.1088/1742-5468/2011/05/p05004', '10.1063/1.3528004', '10.1007/978-3-642-30749-2_1', '10.1103/physrevlett.122.238102', '10.1007/s12159-012-0090-0', '10.1002/cphc.200800277', '10.1088/1367-2630/17/3/033024', '10.2976/1.3027088', '10.1016/j.cirpj.2012.09.004', '10.1021/la800053e', '10.1021/acs.jpcb.8b10633']
