domain_id,grouping_id,major_field,sub_category,exact_category,arxiv_category
1,1.1,natural sciences,mathematics,applied mathematics,stat.ME
2,1.1,natural sciences,mathematics,applied mathematics,stat.AP
3,1.1,natural sciences,mathematics,applied mathematics,stat.CO
4,1.1,natural sciences,mathematics,pure mathematics,math.GM
5,1.1,natural sciences,mathematics,pure mathematics,stat.CO
6,1.1,natural sciences,mathematics,statistics and probability,math.ST
7,1.1,natural sciences,mathematics,statistics and probability,math.PR
8,1.1,natural sciences,mathematics,statistics and probability,stat.TH
9,1.1,natural sciences,mathematics,other,math.QA
10,1.1,natural sciences,mathematics,other,math.RA
11,1.1,natural sciences,mathematics,other,math.RT
12,1.1,natural sciences,mathematics,other,math.SG
13,1.1,natural sciences,mathematics,other,math.SP
14,1.1,natural sciences,mathematics,other,math.OC
15,1.1,natural sciences,mathematics,other,math.OA
16,1.1,natural sciences,mathematics,other,math.NT
17,1.1,natural sciences,mathematics,other,math.NA
18,1.1,natural sciences,mathematics,other,math.MG
19,1.1,natural sciences,mathematics,other,math.LO
20,1.1,natural sciences,mathematics,other,math.KT
21,1.1,natural sciences,mathematics,other,math.HO
22,1.1,natural sciences,mathematics,other,math.GT
23,1.1,natural sciences,mathematics,other,math.GR
24,1.1,natural sciences,mathematics,other,math.GN
25,1.1,natural sciences,mathematics,other,math.FA
26,1.1,natural sciences,mathematics,other,math.DS
27,1.1,natural sciences,mathematics,other,math.DG
28,1.1,natural sciences,mathematics,other,math.CV
29,1.1,natural sciences,mathematics,other,math.CT
30,1.1,natural sciences,mathematics,other,math.CO
31,1.1,natural sciences,mathematics,other,math.CA
32,1.1,natural sciences,mathematics,other,math.AT
33,1.1,natural sciences,mathematics,other,math.AP
34,1.1,natural sciences,mathematics,other,math.AG
35,1.1,natural sciences,mathematics,other,math.AC
36,1.1,natural sciences,mathematics,other,stat.OT
37,1.2,natural sciences,computer sciences,algorithms,stat.CO
38,1.2,natural sciences,computer sciences,algorithms,cs.DS
39,1.2,natural sciences,computer sciences,algorithms,cs.CC
40,1.2,natural sciences,computer sciences,artificial Intelligence,cs.NE
41,1.2,natural sciences,computer sciences,artificial Intelligence,cs.LG
42,1.2,natural sciences,computer sciences,artificial Intelligence,stat.ML
43,1.2,natural sciences,computer sciences,artificial Intelligence,cs.AI
44,1.2,natural sciences,computer sciences,computer architecture,cs.AR
45,1.2,natural sciences,computer sciences,computer communications,cs.NI
46,1.2,natural sciences,computer sciences,computer graphics,cs.GR
47,1.2,natural sciences,computer sciences,computer security and reliability,cs.CR
48,1.2,natural sciences,computer sciences,data structures,cs.DB
49,1.2,natural sciences,computer sciences,data structures,cs.DS
50,1.2,natural sciences,computer sciences,distributed computing,cs.DC
51,1.2,natural sciences,computer sciences,distributed computing,cs.NI
52,1.2,natural sciences,computer sciences,human-computer interaction,cs.HC
53,1.2,natural sciences,computer sciences,operating systems,cs.OS
54,1.2,natural sciences,computer sciences,parallel computing,cs.DC
55,1.2,natural sciences,computer sciences,parallel computing,cs.NI
56,1.2,natural sciences,computer sciences,programming languages,cs.PL
57,1.2,natural sciences,computer sciences,software engineering,cs.MS
58,1.2,natural sciences,computer sciences,software engineering,cs.SE
59,1.2,natural sciences,computer sciences,theory of computation,cs.SC
60,1.2,natural sciences,computer sciences,other,cs.NE
61,1.2,natural sciences,computer sciences,other,math.IT
62,1.2,natural sciences,computer sciences,other,cs.IT
63,1.2,natural sciences,computer sciences,other,cs.CE
64,1.2,natural sciences,computer sciences,other,cs.GL
65,1.2,natural sciences,computer sciences,other,cs.CL
66,1.2,natural sciences,computer sciences,other,cs.CG
67,1.2,natural sciences,computer sciences,other,cs.CV
68,1.2,natural sciences,computer sciences,other,cs.MA
69,1.2,natural sciences,computer sciences,other,cs.DM
70,1.2,natural sciences,computer sciences,other,cs.DL
71,1.2,natural sciences,computer sciences,other,cs.ET
72,1.2,natural sciences,computer sciences,other,cs.FL
73,1.2,natural sciences,computer sciences,other,cs.LO
74,1.2,natural sciences,computer sciences,other,cs.GT
75,1.2,natural sciences,computer sciences,other,cs.OH
76,1.2,natural sciences,computer sciences,other,cs.NA
77,1.2,natural sciences,computer sciences,other,cs.PF
78,1.3,natural sciences,information sciences,data management,cs.DB
79,1.3,natural sciences,information sciences,information retrieval,cs.IT
80,1.3,natural sciences,information sciences,information retrieval,math.IT
81,1.3,natural sciences,information sciences,information retrieval,cs.IR
82,1.3,natural sciences,information sciences,information management,cs.IT
83,1.3,natural sciences,information sciences,information management,math.IT
84,1.3,natural sciences,information sciences,information management,cs.SI
85,1.3,natural sciences,information sciences,"multimedia, hypermedia",cs.MM
86,1.3,natural sciences,information sciences,other,cs.CY
87,1.4,natural sciences,earth sciences,atmospheric science,physics.ao-ph
88,1.4,natural sciences,earth sciences,geophysics,physics.geo-ph
89,1.5,natural sciences,biology science,behavioural biology,q-bio.NC
90,1.5,natural sciences,biology science,biochemistry and molecular biology,q-bio.MN
91,1.5,natural sciences,biology science,biochemistry and molecular biology,q-bio.BM
92,1.5,natural sciences,biology science,biodiversity conservation,q-bio.PE
93,1.5,natural sciences,biology science,bioinformatics,q-bio.GN
94,1.5,natural sciences,biology science,biophysics,physics.bio-ph
95,1.5,natural sciences,biology science,cell biology,q-bio.CB
96,1.5,natural sciences,biology science,computational biology,q-bio.OT
97,1.5,natural sciences,biology science,evolutionary biology,q-bio.PE
98,1.5,natural sciences,biology science,genetics and heredity,q-bio.GN
99,1.5,natural sciences,biology science,genetics and heredity,q-bio.PE
100,1.5,natural sciences,biology science,mathematical biology,q-bio.QM
101,1.5,natural sciences,biology science,structural biology,q-bio.SC
102,1.5,natural sciences,biology science,other,q-bio.TO
103,1.5,natural sciences,biology science,other,q-bio.OT
104,1.6,natural sciences,physical sciences,accelerator physics,physics.acc-ph
105,1.6,natural sciences,physical sciences,astrophysics,astro-ph.CO
106,1.6,natural sciences,physical sciences,astrophysics,astro-ph.EP
107,1.6,natural sciences,physical sciences,astrophysics,astro-ph.GA
108,1.6,natural sciences,physical sciences,astrophysics,astro-ph.HE
109,1.6,natural sciences,physical sciences,astrophysics,astro-ph.SR
110,1.6,natural sciences,physical sciences,astrophysics,astro-ph.IM
111,1.6,natural sciences,physical sciences,astrophysics,astro-ph
112,1.6,natural sciences,physical sciences,atomic,physics.atom-ph
113,1.6,natural sciences,physical sciences,atomic,physics.atm-clus
