publication_ID	arxiv_category_ID
250001	67
250002	74
250002	21
250003	121
250004	74
250005	73
250005	79
250006	9
250007	64
250008	10
250009	1
250010	74
250011	91
250011	70
250012	91
250013	91
250014	73
250014	72
250015	68
250016	67
250017	1
250018	68
250019	94
250019	70
250020	65
250021	105
250021	115
250021	134
250022	90
250023	1
250024	105
250025	15
250025	14
250026	96
250027	9
250028	73
250028	94
250029	67
250030	15
250031	67
250032	67
250033	126
250033	117
250034	137
250034	132
250034	150
250035	126
250035	117
250036	138
250036	134
250037	126
250037	117
250038	126
250038	117
250039	67
250039	66
250039	108
250040	92
250040	79
250041	95
250041	101
250041	89
250042	121
250042	150
250043	14
250043	10
250044	1
250044	103
250044	127
250044	130
250045	105
250045	106
250046	150
250046	38
250046	85
250047	45
250047	17
250048	64
250048	1
250049	74
250050	45
250050	17
