publication_id,domain_id,major_field,sub_category,exact_category,arxiv_category
200009.0,111,natural sciences,physical sciences,astrophysics,astro-ph
200017.0,111,natural sciences,physical sciences,astrophysics,astro-ph
200023.0,111,natural sciences,physical sciences,astrophysics,astro-ph
200044.0,111,natural sciences,physical sciences,astrophysics,astro-ph
200048.0,111,natural sciences,physical sciences,astrophysics,astro-ph
250009.0,111,natural sciences,physical sciences,astrophysics,astro-ph
250017.0,111,natural sciences,physical sciences,astrophysics,astro-ph
250023.0,111,natural sciences,physical sciences,astrophysics,astro-ph
250044.0,111,natural sciences,physical sciences,astrophysics,astro-ph
250048.0,111,natural sciences,physical sciences,astrophysics,astro-ph
,105,natural sciences,physical sciences,astrophysics,astro-ph.CO
,106,natural sciences,physical sciences,astrophysics,astro-ph.EP
,107,natural sciences,physical sciences,astrophysics,astro-ph.GA
,108,natural sciences,physical sciences,astrophysics,astro-ph.HE
,110,natural sciences,physical sciences,astrophysics,astro-ph.IM
,109,natural sciences,physical sciences,astrophysics,astro-ph.SR
,116,natural sciences,physical sciences,condensed matter physics,cond-mat.dis-nn
200006.0,117,natural sciences,physical sciences,condensed matter physics,cond-mat.mes-hall
200027.0,117,natural sciences,physical sciences,condensed matter physics,cond-mat.mes-hall
250006.0,117,natural sciences,physical sciences,condensed matter physics,cond-mat.mes-hall
250027.0,117,natural sciences,physical sciences,condensed matter physics,cond-mat.mes-hall
200008.0,118,natural sciences,physical sciences,condensed matter physics,cond-mat.mtrl-sci
200043.0,118,natural sciences,physical sciences,condensed matter physics,cond-mat.mtrl-sci
250008.0,118,natural sciences,physical sciences,condensed matter physics,cond-mat.mtrl-sci
250043.0,118,natural sciences,physical sciences,condensed matter physics,cond-mat.mtrl-sci
,119,natural sciences,physical sciences,condensed matter physics,cond-mat.other
,120,natural sciences,physical sciences,condensed matter physics,cond-mat.quant-gas
,121,natural sciences,physical sciences,condensed matter physics,cond-mat.soft
200025.0,122,natural sciences,physical sciences,condensed matter physics,cond-mat.stat-mech
200043.0,122,natural sciences,physical sciences,condensed matter physics,cond-mat.stat-mech
250025.0,122,natural sciences,physical sciences,condensed matter physics,cond-mat.stat-mech
250043.0,122,natural sciences,physical sciences,condensed matter physics,cond-mat.stat-mech
200025.0,123,natural sciences,physical sciences,condensed matter physics,cond-mat.str-el
200030.0,123,natural sciences,physical sciences,condensed matter physics,cond-mat.str-el
250025.0,123,natural sciences,physical sciences,condensed matter physics,cond-mat.str-el
250030.0,123,natural sciences,physical sciences,condensed matter physics,cond-mat.str-el
,124,natural sciences,physical sciences,condensed matter physics,cond-mat.supr-con
200047.0,43,natural sciences,computer sciences,artificial Intelligence,cs.AI
200050.0,43,natural sciences,computer sciences,artificial Intelligence,cs.AI
250047.0,43,natural sciences,computer sciences,artificial Intelligence,cs.AI
250050.0,43,natural sciences,computer sciences,artificial Intelligence,cs.AI
,44,natural sciences,computer sciences,computer architecture,cs.AR
,39,natural sciences,computer sciences,algorithms,cs.CC
,63,natural sciences,computer sciences,other,cs.CE
200002.0,66,natural sciences,computer sciences,other,cs.CG
250002.0,66,natural sciences,computer sciences,other,cs.CG
,65,natural sciences,computer sciences,other,cs.CL
,47,natural sciences,computer sciences,computer security and reliability,cs.CR
,67,natural sciences,computer sciences,other,cs.CV
,86,natural sciences,information sciences,other,cs.CY
,48,natural sciences,computer sciences,data structures,cs.DB
,78,natural sciences,information sciences,data management,cs.DB
,50,natural sciences,computer sciences,distributed computing,cs.DC
,54,natural sciences,computer sciences,parallel computing,cs.DC
,70,natural sciences,computer sciences,other,cs.DL
,69,natural sciences,computer sciences,other,cs.DM
,38,natural sciences,computer sciences,algorithms,cs.DS
,49,natural sciences,computer sciences,data structures,cs.DS
,71,natural sciences,computer sciences,other,cs.ET
,72,natural sciences,computer sciences,other,cs.FL
,64,natural sciences,computer sciences,other,cs.GL
,46,natural sciences,computer sciences,computer graphics,cs.GR
,74,natural sciences,computer sciences,other,cs.GT
,52,natural sciences,computer sciences,human-computer interaction,cs.HC
,81,natural sciences,information sciences,information retrieval,cs.IR
200046.0,62,natural sciences,computer sciences,other,cs.IT
250046.0,62,natural sciences,computer sciences,other,cs.IT
200046.0,79,natural sciences,information sciences,information retrieval,cs.IT
250046.0,79,natural sciences,information sciences,information retrieval,cs.IT
200046.0,82,natural sciences,information sciences,information management,cs.IT
250046.0,82,natural sciences,information sciences,information management,cs.IT
,41,natural sciences,computer sciences,artificial Intelligence,cs.LG
,73,natural sciences,computer sciences,other,cs.LO
,68,natural sciences,computer sciences,other,cs.MA
,85,natural sciences,information sciences,"multimedia, hypermedia",cs.MM
,57,natural sciences,computer sciences,software engineering,cs.MS
,76,natural sciences,computer sciences,other,cs.NA
200047.0,40,natural sciences,computer sciences,artificial Intelligence,cs.NE
200050.0,40,natural sciences,computer sciences,artificial Intelligence,cs.NE
250047.0,40,natural sciences,computer sciences,artificial Intelligence,cs.NE
250050.0,40,natural sciences,computer sciences,artificial Intelligence,cs.NE
200047.0,60,natural sciences,computer sciences,other,cs.NE
200050.0,60,natural sciences,computer sciences,other,cs.NE
250047.0,60,natural sciences,computer sciences,other,cs.NE
250050.0,60,natural sciences,computer sciences,other,cs.NE
,45,natural sciences,computer sciences,computer communications,cs.NI
,51,natural sciences,computer sciences,distributed computing,cs.NI
,55,natural sciences,computer sciences,parallel computing,cs.NI
,75,natural sciences,computer sciences,other,cs.OH
,53,natural sciences,computer sciences,operating systems,cs.OS
,77,natural sciences,computer sciences,other,cs.PF
,56,natural sciences,computer sciences,programming languages,cs.PL
,158,engineering and technology,"electrical, electronic and information engineering","robotics, automation and control systems",cs.RO
,59,natural sciences,computer sciences,theory of computation,cs.SC
,165,engineering and technology,mechanical engineering,audio engineering,cs.SD
,58,natural sciences,computer sciences,software engineering,cs.SE
,84,natural sciences,information sciences,information management,cs.SI
,155,engineering and technology,"electrical, electronic and information engineering",communication engineering and systems,cs.SI
,162,engineering and technology,"electrical, electronic and information engineering",other,cs.SY
,183,social sciences,"economics, finance and business",economics and econometrics ,econ.EM
,185,social sciences,"economics, finance and business",economics and econometrics ,econ.GN
,184,social sciences,"economics, finance and business",economics and econometrics ,econ.TH
,166,engineering and technology,mechanical engineering,audio engineering,eess.AS
,160,engineering and technology,"electrical, electronic and information engineering",other,eess.IV
,161,engineering and technology,"electrical, electronic and information engineering",other,eess.SP
,163,engineering and technology,"electrical, electronic and information engineering",other,eess.SY
200007.0,141,natural sciences,physical sciences,quantum physics,gr-qc
200048.0,141,natural sciences,physical sciences,quantum physics,gr-qc
250007.0,141,natural sciences,physical sciences,quantum physics,gr-qc
250048.0,141,natural sciences,physical sciences,quantum physics,gr-qc
200020.0,129,natural sciences,physical sciences,high energy physics,hep-ex
250020.0,129,natural sciences,physical sciences,high energy physics,hep-ex
200039.0,128,natural sciences,physical sciences,high energy physics,hep-lat
250039.0,128,natural sciences,physical sciences,high energy physics,hep-lat
200001.0,126,natural sciences,physical sciences,high energy physics,hep-ph
200016.0,126,natural sciences,physical sciences,high energy physics,hep-ph
200029.0,126,natural sciences,physical sciences,high energy physics,hep-ph
200031.0,126,natural sciences,physical sciences,high energy physics,hep-ph
200032.0,126,natural sciences,physical sciences,high energy physics,hep-ph
200039.0,126,natural sciences,physical sciences,high energy physics,hep-ph
250001.0,126,natural sciences,physical sciences,high energy physics,hep-ph
250016.0,126,natural sciences,physical sciences,high energy physics,hep-ph
250029.0,126,natural sciences,physical sciences,high energy physics,hep-ph
250031.0,126,natural sciences,physical sciences,high energy physics,hep-ph
250032.0,126,natural sciences,physical sciences,high energy physics,hep-ph
250039.0,126,natural sciences,physical sciences,high energy physics,hep-ph
200015.0,127,natural sciences,physical sciences,high energy physics,hep-th
200018.0,127,natural sciences,physical sciences,high energy physics,hep-th
250015.0,127,natural sciences,physical sciences,high energy physics,hep-th
250018.0,127,natural sciences,physical sciences,high energy physics,hep-th
,35,natural sciences,mathematics,other,math.AC
200011.0,34,natural sciences,mathematics,other,math.AG
200019.0,34,natural sciences,mathematics,other,math.AG
250011.0,34,natural sciences,mathematics,other,math.AG
250019.0,34,natural sciences,mathematics,other,math.AG
,33,natural sciences,mathematics,other,math.AP
200014.0,32,natural sciences,mathematics,other,math.AT
250014.0,32,natural sciences,mathematics,other,math.AT
200005.0,31,natural sciences,mathematics,other,math.CA
200014.0,31,natural sciences,mathematics,other,math.CA
200028.0,31,natural sciences,mathematics,other,math.CA
250005.0,31,natural sciences,mathematics,other,math.CA
250014.0,31,natural sciences,mathematics,other,math.CA
250028.0,31,natural sciences,mathematics,other,math.CA
200002.0,30,natural sciences,mathematics,other,math.CO
200004.0,30,natural sciences,mathematics,other,math.CO
200010.0,30,natural sciences,mathematics,other,math.CO
200049.0,30,natural sciences,mathematics,other,math.CO
250002.0,30,natural sciences,mathematics,other,math.CO
250004.0,30,natural sciences,mathematics,other,math.CO
250010.0,30,natural sciences,mathematics,other,math.CO
250049.0,30,natural sciences,mathematics,other,math.CO
,29,natural sciences,mathematics,other,math.CT
,28,natural sciences,mathematics,other,math.CV
,27,natural sciences,mathematics,other,math.DG
,26,natural sciences,mathematics,other,math.DS
200005.0,25,natural sciences,mathematics,other,math.FA
200040.0,25,natural sciences,mathematics,other,math.FA
250005.0,25,natural sciences,mathematics,other,math.FA
250040.0,25,natural sciences,mathematics,other,math.FA
,4,natural sciences,mathematics,pure mathematics,math.GM
,24,natural sciences,mathematics,other,math.GN
,23,natural sciences,mathematics,other,math.GR
,22,natural sciences,mathematics,other,math.GT
,21,natural sciences,mathematics,other,math.HO
200046.0,61,natural sciences,computer sciences,other,math.IT
250046.0,61,natural sciences,computer sciences,other,math.IT
200046.0,80,natural sciences,information sciences,information retrieval,math.IT
250046.0,80,natural sciences,information sciences,information retrieval,math.IT
200046.0,83,natural sciences,information sciences,information management,math.IT
250046.0,83,natural sciences,information sciences,information management,math.IT
,20,natural sciences,mathematics,other,math.KT
,19,natural sciences,mathematics,other,math.LO
,18,natural sciences,mathematics,other,math.MG
200041.0,131,natural sciences,physical sciences,mathematical physics,math.MP
250041.0,131,natural sciences,physical sciences,mathematical physics,math.MP
200022.0,17,natural sciences,mathematics,other,math.NA
250022.0,17,natural sciences,mathematics,other,math.NA
200011.0,16,natural sciences,mathematics,other,math.NT
200012.0,16,natural sciences,mathematics,other,math.NT
200013.0,16,natural sciences,mathematics,other,math.NT
250011.0,16,natural sciences,mathematics,other,math.NT
250012.0,16,natural sciences,mathematics,other,math.NT
250013.0,16,natural sciences,mathematics,other,math.NT
200040.0,15,natural sciences,mathematics,other,math.OA
250040.0,15,natural sciences,mathematics,other,math.OA
,14,natural sciences,mathematics,other,math.OC
200019.0,7,natural sciences,mathematics,statistics and probability,math.PR
200028.0,7,natural sciences,mathematics,statistics and probability,math.PR
250019.0,7,natural sciences,mathematics,statistics and probability,math.PR
250028.0,7,natural sciences,mathematics,statistics and probability,math.PR
200041.0,9,natural sciences,mathematics,other,math.QA
250041.0,9,natural sciences,mathematics,other,math.QA
200026.0,10,natural sciences,mathematics,other,math.RA
250026.0,10,natural sciences,mathematics,other,math.RA
,11,natural sciences,mathematics,other,math.RT
,12,natural sciences,mathematics,other,math.SG
,13,natural sciences,mathematics,other,math.SP
,6,natural sciences,mathematics,statistics and probability,math.ST
200041.0,130,natural sciences,physical sciences,mathematical physics,math-ph
250041.0,130,natural sciences,physical sciences,mathematical physics,math-ph
,143,natural sciences,physical sciences,other,nlin.AO
200044.0,144,natural sciences,physical sciences,other,nlin.CD
250044.0,144,natural sciences,physical sciences,other,nlin.CD
,145,natural sciences,physical sciences,other,nlin.CG
200021.0,146,natural sciences,physical sciences,other,nlin.PS
200024.0,146,natural sciences,physical sciences,other,nlin.PS
200045.0,146,natural sciences,physical sciences,other,nlin.PS
250021.0,146,natural sciences,physical sciences,other,nlin.PS
250024.0,146,natural sciences,physical sciences,other,nlin.PS
250045.0,146,natural sciences,physical sciences,other,nlin.PS
200045.0,147,natural sciences,physical sciences,other,nlin.SI
250045.0,147,natural sciences,physical sciences,other,nlin.SI
,135,natural sciences,physical sciences,nuclear physics,nucl-ex
200039.0,134,natural sciences,physical sciences,nuclear physics,nucl-th
250039.0,134,natural sciences,physical sciences,nuclear physics,nucl-th
200039.0,154,natural sciences,chemical sciences,inorganic and nuclear chemistry,nucl-th
250039.0,154,natural sciences,chemical sciences,inorganic and nuclear chemistry,nucl-th
200039.0,167,engineering and technology,mechanical engineering,nuclear related engineering,nucl-th
