publication_id,venue_id,doi,title,date,submitter,type,language,page_numbers,volume,issue,number_of_references,number_of_citations,no_versions_arxiv,date_of_first_version,updated_at
200001,1,10.1103/PhysRevD.76.013009,Calculation of prompt diphoton production cross sections at Tevatron and  LHC energies,2007-07-24,Pavel Nadolsky,journal-article,en,,76,1,46,45,2,2007-04-02,2023-01-06 17:07:24.397480+00:00
200002,1,,Sparsity-certifying Graph Decompositions,2008-12-13,Louis Theran,,,,-1,-1,-1,-1,2,2007-03-31,2023-01-06 17:07:24.397480+00:00
200003,1,,The evolution of the Earth-Moon system based on the dark matter field  fluid model,2008-01-13,Hongjun Pan,,,,-1,-1,-1,-1,3,2007-04-01,2023-01-06 17:07:24.397480+00:00
200004,1,,A determinant of Stirling cycle numbers counts unlabeled acyclic  single-source automata,2007-03-31,David Callan,,,,-1,-1,-1,-1,1,2007-03-31,2023-01-06 17:07:24.397480+00:00
200005,2,,From dyadic $Lambda_{alpha}$ to $Lambda_{alpha}$,2007-04-02,Alberto Torchinsky,,,,-1,-1,-1,-1,1,2007-04-02,2023-01-06 17:07:24.397480+00:00
200006,2,10.1103/PhysRevA.75.043613,Bosonic characters of atomic Cooper pairs across resonance,2007-03-31,Yue Hin Pong,journal-article,en,,75,4,23,13,1,2007-03-31,2023-01-06 17:07:24.397480+00:00
200007,2,10.1103/PhysRevD.76.044016,Polymer Quantum Mechanics and its Continuum Limit,2007-08-22,Alejandro Corichi,journal-article,en,,76,4,17,107,2,2007-03-31,2023-01-06 17:07:24.397480+00:00
200008,3,10.1063/1.2975338,Numerical solution of shock and ramp compression for general material  properties,2008-07-01,Damian Swift,journal-article,en,073536,104,7,31,11,3,2007-03-31,2023-01-06 17:07:24.397480+00:00
200009,4,10.1086/518646,"The Spitzer c2d Survey of Large, Nearby, Insterstellar Clouds. IX. The  Serpens YSO Population As Observed With IRAC and MIPS",2007-04-02,Paul Harvey,journal-article,en,1149-1173,663,2,60,151,1,2007-04-02,2023-01-06 17:07:24.397480+00:00
200010,4,,"Partial cubes: structures, characterizations, and constructions",2007-03-31,Sergei Ovchinnikov,,,,-1,-1,-1,-1,1,2007-03-31,2023-01-06 17:07:24.397480+00:00
200011,4,,Computing genus 2 Hilbert-Siegel modular forms over $Q(sqrt{5})$ via  the Jacquet-Langlands correspondence,2008-08-20,Clifton Cunningham,,,,-1,-1,-1,-1,3,2007-03-31,2023-01-06 17:07:24.397480+00:00
200012,4,,Distribution of integral Fourier Coefficients of a Modular Form of Half  Integral Weight Modulo Primes,2007-03-31,Dohoon Choi,,,,-1,-1,-1,-1,1,2007-03-31,2023-01-06 17:07:24.397480+00:00
200013,4,,$p$-adic Limit of Weakly Holomorphic Modular Forms of Half Integral  Weight,2008-05-26,Dohoon Choi,,,,-1,-1,-1,-1,2,2007-03-31,2023-01-06 17:07:24.397480+00:00
200014,4,,Iterated integral and the loop product,2007-04-01,Koichi Fujii,,,,-1,-1,-1,-1,1,2007-04-01,2023-01-06 17:07:24.397480+00:00
200015,5,10.1088/1126-6708/2007/05/034,Fermionic superstring loop amplitudes in the pure spinor formalism,2008-03-10,Christian Stahn,journal-article,,034-034,2007,5,20,9,2,2007-04-02,2023-01-06 17:07:24.397480+00:00
200016,6,10.1088/0253-6102/49/4/38,Lifetime of doubly charmed baryons,2007-03-31,Li Tong,journal-article,,993-1000,49,4,59,33,1,2007-03-31,2023-01-06 17:07:24.397480+00:00
200017,7,10.1111/j.1365-2966.2007.11762.x,Spectroscopic Observations of the Intermediate Polar EX Hydrae in  Quiescence,2007-03-31,Nceba Mhlahlo,journal-article,en,211-220,378,1,30,12,1,2007-03-31,2023-01-06 17:07:24.397480+00:00
200018,7,,In quest of a generalized Callias index theorem,2007-04-21,Andreas Gustavsson,,,,-1,-1,-1,-1,2,2007-04-02,2023-01-06 17:07:24.397480+00:00
200019,7,,"""Approximation for extinction probability of the contact process based on  the Gr""""obner basis""",2007-06-23,Norio Konno,,,,-1,-1,-1,-1,2,2007-03-31,2023-01-06 17:07:24.397480+00:00
200020,7,10.1103/PhysRevD.76.052005,Measurement of the Hadronic Form Factor in D0 --> K- e+ nue Decays,2007-03-31,Patrick Roudeau,journal-article,en,,76,5,42,45,1,2007-03-31,2023-01-06 17:07:24.397480+00:00
