major_field,sub_category,exact_category,arXiv_category,,,,,,,
natural sciences,mathematics,applied mathematics,stat.ME,,,,,,,
natural sciences,mathematics,applied mathematics,stat.AP,,,,,,,
natural sciences,mathematics,applied mathematics,stat.CO,,,,,,,
natural sciences,mathematics,pure mathematics,math.GM,,,,,,,
natural sciences,mathematics,pure mathematics,stat.CO,,,,,,,
natural sciences,mathematics,statistics and probability,math.ST,,,,,,,
natural sciences,mathematics,statistics and probability,math.PR,,,,,,,
natural sciences,mathematics,statistics and probability,stat.TH,,,,,,,
natural sciences,mathematics,other,math.QA,,,,,,,
natural sciences,mathematics,other,math.RA,,,,,,,
natural sciences,mathematics,other,math.RT,,,,,,,
natural sciences,mathematics,other,math.SG,,,,,,,
natural sciences,mathematics,other,math.SP,,,,,,,
natural sciences,mathematics,other,math.OC,,,,,,,
natural sciences,mathematics,other,math.OA,,,,,,,
natural sciences,mathematics,other,math.NT,,,,,,,
natural sciences,mathematics,other,math.NA,,,,,,,
natural sciences,mathematics,other,math.MG,,,,,,,
natural sciences,mathematics,other,math.LO,,,,,,,
natural sciences,mathematics,other,math.KT,,,,,,,
natural sciences,mathematics,other,"math,HO",,,,,,,
natural sciences,mathematics,other,math.GT,,,,,,,
natural sciences,mathematics,other,math.GR,,,,,,,
natural sciences,mathematics,other,math.GN,,,,,,,
natural sciences,mathematics,other,math.FA,,,,,,,
natural sciences,mathematics,other,math.DS,,,,,,,
natural sciences,mathematics,other,math.DG,,,,,,,
natural sciences,mathematics,other,math.CV,,,,,,,
natural sciences,mathematics,other,math.CT,,,,,,,
natural sciences,mathematics,other,math.CO,,,,,,,
natural sciences,mathematics,other,math.CA,,,,,,,
natural sciences,mathematics,other,math.AT,,,,,,,
natural sciences,mathematics,other,math.AP,,,,,,,
natural sciences,mathematics,other,math.AG,,,,,,,
natural sciences,mathematics,other,math.AC,,,,,,,
natural sciences,mathematics,other,stat.OT,,,,,,,
natural sciences,computer sciences,algorithms,stat.CO,,,,,,,
natural sciences,computer sciences,algorithms,cs.DS,,,,,,,
natural sciences,computer sciences,algorithms,cs.CC,,,,,,,
natural sciences,computer sciences,artificial Intelligence,cs.NE,,,,,,,
natural sciences,computer sciences,artificial Intelligence,cs.LG,,,,,,,
natural sciences,computer sciences,artificial Intelligence,stat.ML,,,,,,,
natural sciences,computer sciences,artificial Intelligence,cs.AI,,,,,,,
natural sciences,computer sciences,computer architecture,cs.AR,,,,,,,
natural sciences,computer sciences,computer communications,cs.NI,,,,,,,
natural sciences,computer sciences,computer graphics,cs.GR,,,,,,,
natural sciences,computer sciences,computer security and reliability,cs.CR,,,,,,,
natural sciences,computer sciences,data structures,cs.DB,,,,,,,
natural sciences,computer sciences,data structures,cs.DS,,,,,,,
natural sciences,computer sciences,distributed computing,cs.DC,,,,,,,
natural sciences,computer sciences,distributed computing,cs.NI,,,,,,,
natural sciences,computer sciences,human-computer interaction,cs.HC,,,,,,,
natural sciences,computer sciences,operating systems,cs.OS,,,,,,,
natural sciences,computer sciences,parallel computing,cs.DC,,,,,,,
natural sciences,computer sciences,parallel computing,cs.NI,,,,,,,
natural sciences,computer sciences,programming languages,cs-PL,,,,,,,
natural sciences,computer sciences,software engineering,cs.MS,,,,,,,
natural sciences,computer sciences,software engineering,cs.SE,,,,,,,
natural sciences,computer sciences,theory of computation,cs.SC,,,,,,,
natural sciences,computer sciences,other,cs.NE,,,,,,,
natural sciences,computer sciences,other,math.IT,,,,,,,
natural sciences,computer sciences,other,cs.IT,,,,,,,
natural sciences,computer sciences,other,cs.CE,,,,,,,
natural sciences,computer sciences,other,cs.GL,,,,,,,
natural sciences,computer sciences,other,cs.CL,,,,,,,
natural sciences,computer sciences,other,cs.CG,,,,,,,
natural sciences,computer sciences,other,cs.CV,,,,,,,
natural sciences,computer sciences,other,cs.MA,,,,,,,
natural sciences,computer sciences,other,cs.DM,,,,,,,
natural sciences,computer sciences,other,cs.DL,,,,,,,
natural sciences,computer sciences,other,cs.ET,,,,,,,
natural sciences,computer sciences,other,cs.FL,,,,,,,
natural sciences,computer sciences,other,cs.LO,,,,,,,
natural sciences,computer sciences,other,cs.GT,,,,,,,
natural sciences,computer sciences,other,cs.OH,,,,,,,
natural sciences,computer sciences,other,cs.NA,,,,,,,
natural sciences,computer sciences,other,cs.PF,,,,,,,
natural sciences,information sciences,data management,cs.DB,,,,,,,
natural sciences,information sciences,information retrieval,cs.IT,,,,,,,
natural sciences,information sciences,information retrieval,math.IT,,,,,,,
natural sciences,information sciences,information retrieval,cs.IR,,,,,,,
natural sciences,information sciences,information management,cs.IT,,,,,,,
natural sciences,information sciences,information management,math.IT,,,,,,,
natural sciences,information sciences,information management,cs.SI,,,,,,,
natural sciences,information sciences,"multimedia, hypermedia",cs.MM,,,,,,,
natural sciences,information sciences,other,cs.CY,,,,,,,
natural sciences,earth sciences,atmospheric science,physics.ao-ph,,,,,,,
natural sciences,earth sciences,geophysics,physics.geo-ph,,,,,,,
natural sciences,biology science,behavioural biology,q-bio.NC,,,,,,,
natural sciences,biology science,biochemistry and molecular biology,q-bio.MN,,,,,,,
natural sciences,biology science,biochemistry and molecular biology,q-bio.BM,,,,,,,
natural sciences,biology science,biodiversity conservation,q-bio.PE ,,,,,,,
natural sciences,biology science,bioinformatics,q-bio.GN,,,,,,,
natural sciences,biology science,biophysics,physics.bio-ph ,,,,,,,
natural sciences,biology science,cell biology,q-bio.CB,,,,,,,
natural sciences,biology science,computational biology,q-bio.OT,,,,,,,
natural sciences,biology science,evolutionary biology,q-bio.PE ,,,,,,,
natural sciences,biology science,genetics and heredity,q-bio.GN,,,,,,,
natural sciences,biology science,genetics and heredity,q-bio.PE ,,,,,,,
natural sciences,biology science,mathematical biology,q-bio.QM,,,,,,,
natural sciences,biology science,structural biology,q-bio.SC,,,,,,,
natural sciences,biology science,other,q-bio.TO,,,,,,,
natural sciences,biology science,other,q-bio.OT,,,,,,,
natural sciences,physical sciences,accelerator physics,physics.acc-ph,,,,,,,
natural sciences,physical sciences,astrophysics,astro-ph.CO,,,,,,,
natural sciences,physical sciences,astrophysics,astro-ph.EP ,,,,,,,
natural sciences,physical sciences,astrophysics,astro-ph.GA,,,,,,,
natural sciences,physical sciences,astrophysics,astro-ph.HE ,,,,,,,
natural sciences,physical sciences,astrophysics,astro-ph.SR,,,,,,,
natural sciences,physical sciences,astrophysics,astro-ph.IM,,,,,,,
natural sciences,physical sciences,atomic,physics.atom-ph,,,,,,,
natural sciences,physical sciences,atomic,physics.atm-clus,,,,,,,
natural sciences,physical sciences,chemical physics,physics.chem-ph,,,,,,,
natural sciences,physical sciences,computational physics,physics.comp-ph,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.dis-nn,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.mes-hall,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.mtrl-sci,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.other ,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.quant-gas,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.soft,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.stat-mech,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.str-el,,,,,,,
natural sciences,physical sciences,condensed matter physics,cond-mat.supr-con,,,,,,,
natural sciences,physical sciences,fluid mechanics,physics.flu-dyn,,,,,,,
natural sciences,physical sciences,high energy physics,hep-ph,,,,,,,
natural sciences,physical sciences,high energy physics,hep-th,,,,,,,
natural sciences,physical sciences,high energy physics,hep-lat ,,,,,,,
natural sciences,physical sciences,high energy physics,hep-ex,,,,,,,
natural sciences,physical sciences,mathematical physics,math-ph,,,,,,,
natural sciences,physical sciences,mathematical physics,math.MP,,,,,,,
natural sciences,physical sciences,medical physics,physics.med-ph,,,,,,,
natural sciences,physical sciences,molecular physics,physics.atm-clus,,,,,,,
natural sciences,physical sciences,nuclear physics,nucl-th,,,,,,,
natural sciences,physical sciences,nuclear physics,nucl-ex,,,,,,,
natural sciences,physical sciences,optics,physics.optics,,,,,,,
natural sciences,physical sciences,physics,physics.gen-ph,,,,,,,
